path_id,final_value,terminal_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio
0,11584.174362202799,0.15841743622027993,0.15841743622027993,0.13674428707241443,-0.11610390055333293,0.9977599770073603,1.5671348708484465,1.3644454274601228
1,13652.746820377113,0.3652746820377113,0.3652746820377113,0.15456548848679594,-0.10488289348783937,1.9628418930505802,4.219034536195702,3.4826907409840193
2,11497.883840698049,0.14978838406980488,0.14978838406980488,0.17819846706691897,-0.1049387211882414,0.7605574280516628,1.1242001263703518,1.4273890740588613
3,12240.5304254311,0.22405304254310998,0.22405304254310998,0.17488519827229734,-0.1523786012246755,1.1291842142864084,1.9971777777556405,1.4703707787207843
4,12393.854959766419,0.23938549597664194,0.23938549597664194,0.20581608988545355,-0.09551136970386045,1.0472439978985977,1.8754112712591884,2.506356015193511
5,10341.035291636628,0.03410352916366288,0.03410352916366288,0.16520857234921568,-0.19884634524290107,0.16444379638879256,0.13743490559330204,0.1715069448322204
6,10221.58559313547,0.022158559313547155,0.022158559313547155,0.16301661723579006,-0.23177230698527745,0.09314940885693207,0.020820621902224744,0.09560486152021044
7,8854.088253542453,-0.11459117464575463,-0.11459117464575463,0.15026286759613938,-0.18728682708490313,-0.8676280546170966,-1.3186157683401225,-0.6118485556584649
8,10377.435860512911,0.037743586051291134,0.037743586051291134,0.1391918341109003,-0.09327472727755161,0.19218897594538054,0.18859866495442318,0.404649653265455
9,8229.330181906818,-0.17706698180931812,-0.17706698180931824,0.18206244288974185,-0.23224044747598843,-1.088811914395738,-1.6314555563008915,-0.7624295583895883
10,15632.670145770275,0.5632670145770275,0.5632670145770275,0.19875773946136988,-0.08754149104396498,2.2465332263055817,5.276057902396875,6.434286277967829
11,15357.344308466114,0.5357344308466114,0.5357344308466114,0.14554964604464896,-0.0837608253297727,2.8846417349582856,6.990328934250071,6.396002292687356
12,12658.552047705269,0.26585520477052693,0.26585520477052693,0.1588822688624441,-0.10944367531892173,1.4377463676435103,2.7065174542396795,2.429150921657354
13,13566.630734879682,0.3566630734879681,0.3566630734879681,0.15771205573328548,-0.05816481699054291,1.886524192485822,4.1582530455006195,6.13193837687065
14,8877.807309786773,-0.11221926902132273,-0.11221926902132273,0.16659545644711873,-0.24571683858521196,-0.7509520085559491,-1.1665354461195097,-0.4567015824697187
15,11347.29943162305,0.13472994316230502,0.13472994316230502,0.16613713851183404,-0.21574076497544004,0.7236550743746024,1.0660946488750265,0.6244992372101893
16,9848.721664371365,-0.015127833562863402,-0.015127833562863513,0.16086918417417287,-0.1917176476115912,-0.1380604429513263,-0.30159639627464097,-0.07890683904859726
17,13398.315038812092,0.3398315038812092,0.3398315038812092,0.17094319002530012,-0.11275951867057625,1.680446220268002,3.310438992772553,3.0137722108766476
18,12016.620861958856,0.20166208619588555,0.20166208619588555,0.151440287130241,-0.14135902673356596,1.1575630005547846,1.7496723424694944,1.4265950385749262
