path_id,final_value,terminal_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio
0,12959.17052333294,0.2959170523332939,0.2959170523332939,0.1534031001843851,-0.11413385536129235,1.6366786329623535,3.1415829858800577,2.5927193241353694
1,11086.85414943143,0.1086854149431431,0.1086854149431431,0.16065596349185293,-0.14530846896830976,0.5974902192761103,1.0040946574510194,0.7479633892973315
2,13090.046193611483,0.3090046193611482,0.3090046193611482,0.15209616243705223,-0.09847550765465014,1.715605357697627,3.190536478085826,3.1378829794390666
3,10685.226042368873,0.06852260423688739,0.06852260423688739,0.14808721728426874,-0.14448877402043728,0.38629854903000166,0.5620861983990594,0.47424171671077486
4,10341.922224590668,0.03419222245906672,0.03419222245906672,0.15342290256498337,-0.16279494030690597,0.16489434830930355,0.16334043542324594,0.21003246412085355
5,10378.542880645531,0.037854288064553154,0.037854288064553154,0.14659379796773006,-0.12555094897549193,0.19002512471469746,0.21157844994121722,0.3015053918225857
6,12405.895372439107,0.24058953724391063,0.24058953724391063,0.16605968108089417,-0.08804711495803158,1.2608329377236234,2.475484792443708,2.7325090363107267
7,10215.878804052527,0.021587880405252724,0.021587880405252724,0.15986733584531126,-0.1357063668691302,0.08804686175450252,0.017589564644867137,0.15907787455596106
8,11602.398156395488,0.1602398156395488,0.1602398156395488,0.16660761127055562,-0.12396717147363592,0.8547932964718387,1.4935541770079945,1.2925987883302394
9,10659.543949808787,0.06595439498087874,0.06595439498087874,0.1450556877193482,-0.12966896651305115,0.3749805771001371,0.4918908460099413,0.5086366981589264
10,11146.983111087959,0.1146983111087958,0.1146983111087958,0.16731667847799822,-0.07962347201430278,0.6132623233300912,0.9164481267630445,1.440508787260527
11,9318.753871920459,-0.06812461280795412,-0.06812461280795412,0.14724344245505502,-0.14849748444544525,-0.5416088142168678,-0.9836370644033403,-0.45875937267463696
12,13704.704928182731,0.37047049281827316,0.37047049281827316,0.16262489175196174,-0.12277424332403365,1.8970520329302727,3.9099750750045668,3.0174935946500088
13,9093.466109835721,-0.09065338901642794,-0.09065338901642794,0.162754980066931,-0.19651841089519084,-0.6260889818421238,-1.174550268878047,-0.4612971812843333
14,11996.459219803675,0.19964592198036746,0.19964592198036746,0.1826436239444924,-0.12603645990767384,0.979160562873339,1.5295772959102063,1.5840330815909551
15,12832.531213733273,0.28325312137332737,0.28325312137332737,0.19785071034972054,-0.1560789494065751,1.257109047013803,2.708322915506424,1.8148066888602137
16,10404.095835459613,0.04040958354596125,0.04040958354596125,0.1600613062401585,-0.20351000396916608,0.20185675442292358,0.24161645791718686,0.19856313084286376
